BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM25,SO2,TCH,TOL,Month,Year,AQI_category
0.0,1.0,0.0,0.0,0.0,6.5,24.0,34.0,44.0,6.5,8.0,5.0,1.0,2.0,4,0,1
0.0,1.0,0.0,0.0,0.0,12.0,29.666666666666668,48.333333333333336,31.0,14.666666666666666,8.0,4.0,1.0,2.6666666666666665,4,0,0
0.0,1.0,0.0,0.0,0.0,23.0,31.0,66.5,33.0,11.0,8.0,4.5,1.0,2.0,4,0,1
0.0,1.0,0.0,0.0,0.0,8.666666666666666,34.333333333333336,47.666666666666664,31.666666666666668,10.333333333333334,8.0,6.333333333333333,1.0,2.6666666666666665,4,0,0
0.0,1.0,0.0,0.0,0.0,10.2,22.8,38.4,30.2,13.2,8.0,7.8,1.0,2.6,4,0,0
0.0,1.0,0.0,0.0,0.0,7.0,27.0,38.0,21.0,8.0,8.0,4.0,1.0,3.0,4,0,0
0.0,1.0,0.0,1.0,0.0,36.5,53.0,108.5,32.5,21.5,8.0,17.5,1.0,3.0,4,0,0
0.0,1.0,0.0,1.0,0.0,41.0,64.33333333333333,127.33333333333333,6.333333333333333,27.333333333333332,8.0,16.333333333333332,1.0,3.0,4,0,0
0.0,1.0,0.0,0.0,0.0,11.0,22.0,39.0,31.0,5.0,8.0,5.0,1.0,3.0,4,0,0
0.0,1.0,0.0,0.5,0.0,10.75,18.75,34.5,30.75,6.0,8.0,7.25,1.0,2.0,4,0,0
0.0,1.0,0.0,0.0,0.0,7.0,14.666666666666666,25.333333333333332,46.666666666666664,3.3333333333333335,8.0,4.666666666666667,1.0,1.6666666666666667,4,0,1
0.0,1.0,0.0,0.0,0.0,6.8,20.6,31.2,48.6,4.4,8.0,9.4,1.0,2.0,4,0,1
0.0,1.0,0.0,1.0,0.0,24.333333333333332,47.666666666666664,85.33333333333333,18.666666666666668,10.666666666666666,8.0,15.0,1.0,1.0,4,0,0
0.0,1.0,0.0,0.0,0.0,6.0,19.5,29.0,45.5,8.5,8.0,5.0,1.0,1.0,3,0,1
0.0,1.0,0.0,0.5,0.0,22.5,37.0,71.5,31.0,8.5,8.0,5.0,1.0,6.0,3,0,0
0.0,1.0,0.0,1.0,0.0,25.4,30.2,68.2,41.6,6.8,8.0,4.2,1.0,9.0,3,0,1
0.0,1.0,0.0,0.0,0.0,4.5,20.0,26.5,36.5,12.5,8.0,7.5,1.0,4.5,3,0,1
0.0,1.0,0.0,0.0,0.0,7.333333333333333,21.0,32.666666666666664,34.333333333333336,4.333333333333333,8.0,8.666666666666666,1.0,3.3333333333333335,3,0,1
0.0,1.0,0.0,1.0,0.0,21.0,39.0,71.0,22.0,13.0,8.0,19.0,1.0,1.0,3,0,0
0.0,1.0,0.0,1.0,0.0,10.333333333333334,26.5,42.0,33.0,14.166666666666666,8.0,10.5,1.0,1.0,3,0,1
0.0,1.0,0.0,0.0,0.0,6.0,17.0,26.0,38.5,14.5,8.0,5.5,1.0,2.0,3,0,1
0.0,1.0,0.0,0.0,0.0,10.333333333333334,18.666666666666668,34.666666666666664,44.666666666666664,6.666666666666667,8.0,6.0,1.0,4.333333333333333,3,0,1
0.0,1.0,0.0,0.0,0.0,9.5,24.0,38.5,42.0,11.0,8.0,5.0,1.0,2.0,7,0,1
0.0,1.0,0.0,1.0,0.0,27.5,31.0,74.0,19.5,17.0,8.0,7.5,1.0,1.5,7,0,0
0.0,1.0,0.0,0.0,0.0,6.5,15.0,25.0,47.5,6.5,8.0,4.0,1.0,2.0,7,0,1
0.0,1.0,0.0,0.0,0.0,42.333333333333336,45.0,109.66666666666667,25.666666666666668,19.666666666666668,8.0,12.333333333333334,1.0,2.0,7,0,0
0.0,1.0,0.0,0.0,0.0,25.181818181818183,42.45454545454545,81.36363636363636,37.27272727272727,14.181818181818182,8.0,10.0,1.0,2.0,7,0,1
0.0,1.0,0.0,1.0,0.0,18.0,48.0,76.0,19.0,12.0,8.0,8.0,1.0,5.0,7,0,0
0.0,1.0,0.0,0.0,0.0,51.714285714285715,40.61904761904762,120.0952380952381,25.19047619047619,25.666666666666668,8.0,7.428571428571429,1.0,2.0,7,0,0
0.0,1.0,0.0,0.0,0.0,29.0,34.142857142857146,78.42857142857143,15.428571428571429,19.428571428571427,8.0,4.714285714285714,1.0,2.0,7,0,0
0.0,1.0,0.0,0.0,0.0,8.0,17.0,28.0,25.0,14.0,8.0,5.0,1.0,3.0,7,0,0
0.0,1.0,0.0,0.0,0.0,8.0,11.0,24.0,22.0,13.0,8.0,4.0,1.0,2.0,7,0,0
0.0,1.0,0.0,0.0,0.0,5.0,30.5,38.5,26.0,16.5,8.0,4.0,1.0,3.0,7,0,0
0.0,1.0,0.0,0.6666666666666666,0.0,10.333333333333334,21.333333333333332,37.0,31.0,8.333333333333334,8.0,4.333333333333333,1.0,4.333333333333333,7,0,0
0.0,1.0,0.0,1.0,0.0,6.0,25.0,33.0,41.0,14.0,8.0,5.0,1.0,9.0,7,0,1
0.0,1.0,0.0,0.0,0.0,6.0,25.0,33.0,43.0,9.0,8.0,5.0,1.0,2.0,0,0,1
0.0,1.0,0.0,0.0,0.0,4.0,18.0,25.0,57.0,18.0,8.0,4.0,1.0,2.0,0,0,1
0.0,1.0,0.0,0.0,0.0,6.0,15.0,23.5,32.5,8.0,8.0,3.5,1.0,2.0,0,0,0
0.0,1.0,0.0,0.0,0.0,3.0,19.0,23.0,51.0,5.0,8.0,4.0,1.0,2.0,0,0,1
0.0,1.0,0.0,0.5,0.0,31.0,48.5,95.5,43.0,15.25,8.0,7.25,1.0,1.5,0,0,1
0.0,1.0,0.0,0.0,0.0,3.0,22.5,27.5,50.5,8.0,8.0,4.0,1.0,2.5,8,0,1
0.0,1.0,0.0,1.0,0.0,63.0,97.0,193.0,31.0,42.0,8.0,18.0,1.0,1.0,8,0,0
0.0,1.0,0.0,0.0,0.0,7.0,31.0,42.0,69.0,9.0,8.0,7.0,1.0,2.0,8,0,2
0.0,1.0,0.0,0.8,0.0,35.4,69.6,123.6,36.8,28.2,8.0,10.6,1.0,1.4,8,0,1
